mH1,mH2,mH3,mA1,mA2,mC1,mC2,TanBeta1,TanBeta2,TanAlpha4,TanGamma1,TanGamma2,TanAlpha1,TanAlpha2,HiggsSignal,T-Parameter,B to s Gamma
96.1141651083362,125,314.108396235103,200.599234965946,279.003931178051,506.615236088149,462.930628676034,0.99031600682779,2.19355246977914,1E+017,1.76923427452243,26.2891028514606,0.99031600682779,-0.455881504444107,161.026691578632,2.52763502,0.000349586916603619
90.5574240590417,125,242.132993241058,200.742267330554,266.571939899633,505.118163144363,480.709740792255,1.31774593825555,2.95729416954762,1E+017,5.67250871698612,23.8672240098299,1.31774593825555,-0.338146948753823,161.021486402361,3.02800837,0.000349332216175541
95.8580781050668,125,442.546977138213,201.976050467112,243.761780010165,437.168025636965,473.958232185024,3.31770509336482,2.59126574564125,1E+017,5.17848380885052,29.4253893986272,3.31770509336482,-0.385911789125485,161.045666133875,1.47903572,0.000360167473255798
96.0012319863937,125,269.866618700655,200.370981454986,294.268653250499,395.377008476623,420.331177349572,1.77371685273503,2.52319450190155,1E+017,24.6709255367024,27.1499025953815,1.77371685273503,-0.39632299422275,161.088433039518,1.33589406,0.00036843926844489
82.2923646620813,125,571.122834347168,598.643750095173,207.10344682809,418.075862800368,396.166287248476,0.926481375919317,2.92557241123706,1E+017,9.42726412102422,29.0213684440098,0.926481375919317,-0.341813450304296,161.089102793501,-1.45690819,0.000363194256994182
101.332009287677,125,212.845534811432,212.708188993656,314.363861181675,400.546966367558,382.963449298187,1.08981205317479,2.02388200362246,1E+017,9.69811832139071,2.36035378452197,1.08981205317479,-0.494099951583215,161.107420700887,1.15983557,0.000367278484012915
105.695149416622,125,284.889914921751,214.644687031911,305.558501773809,466.997395371022,446.679442572462,0.68781051346297,2.69398367707711,1E+017,71.1602825796628,87.6089454480054,0.68781051346297,-0.371197497783272,163.466826777786,1.97097916,0.000355015292206449
103.750232183736,125,302.057683577786,207.855081596248,301.461370224784,367.886271139819,351.47101370169,1.06948997015246,2.49927429860376,1E+017,74.8727799024979,97.1351039054573,1.06948997015246,-0.400116145938306,161.156581626432,0.768867107,0.000374635953777437
106.173887935573,125,300.689896723035,208.302636242546,290.499452812567,428.730686086844,421.638516801355,0.884357646518024,2.30222697499685,1E+017,20.6185920307093,51.4401728376136,0.884357646518024,-0.434362037653289,164.196946781992,1.50713574,0.00036193719302446
92.2998686453653,125,211.624541661577,99.4947049316475,313.262573023531,370.733967132502,371.710824933841,1.06573208261067,1.64864302567466,1E+020,56.1024604217875,88.8823094175118,1.06573208261067,-0.606559445815008,161.136492948634,1.44066011,0.00037619599904758
90.5451873311364,125,204.141777047109,102.85188410649,372.632585147851,416.396872312892,441.443575000419,2.94914599135945,0.957014756269071,1E+020,8.73282363178925,67.9216074510184,2.94914599135945,-1.04491596754318,161.067112131911,1.99297268,0.000372346154523954
83.3989217493918,125,518.387203411145,229.621680851381,110.759755570747,366.830369989655,445.068736569385,3.48313064057545,2.47971060337542,1E+020,27.8631908713073,65.3346200298712,3.48313064057545,-0.40327286524435,167.157596738324,0.246905424,0.000375035732603992
91.6611816240152,125,231.903200364326,100.583108740376,195.655246684369,378.621824244345,422.283211951487,3.47626440481561,2.60400702389302,1E+020,21.4032921950243,53.7821734995562,3.47626440481561,-0.384023541728005,161.098437697805,2.11726847,0.000372030524297921
98.4404432645853,125,222.681176798709,107.136805852888,335.798007128332,419.163417059832,466.464852368427,1.61032055349534,0.969126140608406,1E+020,3.87605112138452,3.33027244970842,1.61032055349534,-1.03185742092584,178.457682399709,2.23522883,0.000372647863536152
86.1308045199202,125,211.589412575112,113.801812216239,207.653246297862,424.899533906253,410.118616341983,2.59656715353526,3.35757838996543,1E+020,54.7812112200075,11.5840097839653,2.59656715353526,-0.297833701511968,188.644193814449,2.48265718,0.000361754177785393
100.587549866971,125,269.44335102108,209.563915796367,106.851894347362,376.577133796643,428.905199534374,0.59597497319465,1.74785355513572,1E+020,50.2867845009562,34.3177270461283,0.59597497319465,-0.572130312097201,163.97797244294,1.66569287,0.000374914993196957
104.704402064436,125,317.07121839034,102.934413892448,227.975038513337,415.089081870918,475.1456635048,5.2147408182595,1.62476745707378,1E+020,48.9390537331774,19.9146571760384,5.2147408182595,-0.615472691581974,161.055271599988,2.34335776,0.000366349054299751
92.4715602631522,125,421.564615227204,90.1050887787911,147.699360802739,367.902459791204,462.084103917471,7.52411223412097,2.34892592291003,1E+020,52.5082046199375,84.1975879699437,7.52411223412097,-0.425726494925443,161.088846192093,1.50141514,0.00037492983372602
94.935895885307,125,296.625127862341,190.698803025378,84.4702547942218,385.769116177177,412.142865966673,0.840411097821882,1.922118178924,1E+020,97.9065111292104,50.1880811842092,0.840411097821882,-0.520259373728935,161.098857671905,1.59394075,0.000371723511383711
102.816541335827,125,258.073595229236,232.200876331392,81.7765239272868,471.001225529277,451.046095112338,1.46730781890817,2.46638008759075,1E+020,19.7261535588491,60.9968320281369,1.46730781890817,-0.405452511164586,161.041172424882,2.68567588,0.000354609975413081
86.9431991036626,125,247.999605750372,188.775407707072,94.0977757551094,465.912028900497,412.03615687533,1.47724393858329,1.90350453223428,1E+020,88.0358200626448,63.4147409613447,1.47724393858329,-0.525346792227612,161.059933694192,2.64563359,0.000356147990830873
101.766615495996,125,362.86706317694,205.481975350982,80.7846259552554,458.522228502318,397.825054769556,4.06618234750199,0.772081027969314,1E+020,51.6891536112598,11.5762499280136,4.06618234750199,-1.29520084521458,161.070336277805,1.71377079,0.000367802367537733
